Organism,Groups,Size,Chromosomes,Organelles,Plasmids,Assemblies
Chloracidobacterium,Bacteria;Acidobacteria;Blastocatellia,8.14954,0,0,0,9
Chloracidobacterium thermophilum,Bacteria;Acidobacteria;Blastocatellia,3.69537,2,0,0,2
Chlorella,Eukaryota;Plants;Green Algae,60.3668,0,0,0,4
Chlorella sorokiniana,Eukaryota;Plants;Green Algae,58.5349,6,0,0,6
Chlorella variabilis,Eukaryota;Plants;Green Algae,46.1595,0,0,0,1
Chlorella vulgaris,Eukaryota;Plants;Green Algae,48.8739,0,0,0,2
Chlorencoelia torta,Eukaryota;Fungi;Ascomycetes,44.3804,0,0,0,1
Chloris striate mosaic virus,Viruses;Other;Geminiviridae,0.00275,1,0,0,1
Chlorobaculum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.76786,0,0,0,2
Chlorobaculum limnaeum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.79728,1,0,0,1
Chlorobaculum parvum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.28925,1,0,0,1
Chlorobaculum tepidum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.15495,1,0,0,1
Chlorobaculum thiosulfatiphilum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.61277,0,0,0,1
Chlorobi bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,3.43573,0,0,0,4
Chlorobi bacterium NICIL-2,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.76736,0,0,0,1
Chlorobi bacterium OLB4,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.47058,0,0,0,1
Chlorobi bacterium OLB5,Bacteria;FCB group;Bacteroidetes/Chlorobi group,3.26673,0,0,0,1
Chlorobi bacterium OLB6,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.54971,0,0,0,1
Chlorobi bacterium OLB7,Bacteria;FCB group;Bacteroidetes/Chlorobi group,3.91467,0,0,0,1
Chlorobiales bacterium Clorobi_01,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.31743,0,0,0,1
Chlorobium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.80985,0,0,0,10
Chlorobium chlorochromatii,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.57208,1,0,0,1
Chlorobium ferrooxidans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.53896,0,0,0,1
Chlorobium limicola,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.76318,1,0,0,2
Chlorobium phaeobacteroides,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2.7364,1,0,0,2
Chlorobium phaeovibrioides,Bacteria;FCB group;Bacteroidetes/Chlorobi group,1.96686,1,0,0,3
Chlorocebus pygerythrus polyomavirus 1,Viruses;Other;Polyomaviridae,0.005157,1,0,0,1
Chlorocebus pygerythrus polyomavirus 2,Viruses;Other;Polyomaviridae,0.005167,1,0,0,1
Chlorocebus pygerythrus polyomavirus 3,Viruses;Other;Polyomaviridae,0.005055,1,0,0,1
Chlorocebus sabaeus,Eukaryota;Animals;Mammals,2789.66,31,1,0,1
Chlorociboria aeruginascens,Eukaryota;Fungi;Ascomycetes,33.0565,0,0,0,1
Chloroflexaceae bacterium UBA1466,Bacteria;Terrabacteria group;Chloroflexi,2.78987,0,0,0,1
Chloroflexales bacterium ZM16-3,Bacteria;Terrabacteria group;Chloroflexi,6.29576,0,0,0,1
Chloroflexi bacterium,Bacteria;Terrabacteria group;Chloroflexi,9.36641,0,0,0,488
Chloroflexi bacterium 13_1_20CM_2_59_7,Bacteria;Terrabacteria group;Chloroflexi,1.76139,0,0,0,1
Chloroflexi bacterium 13_1_20CM_2_70_9,Bacteria;Terrabacteria group;Chloroflexi,1.50077,0,0,0,1
Chloroflexi bacterium 13_1_20CM_4_66_15,Bacteria;Terrabacteria group;Chloroflexi,0.379753,0,0,0,1
Chloroflexi bacterium 13_1_20CM_4_66_7,Bacteria;Terrabacteria group;Chloroflexi,0.622507,0,0,0,1
Chloroflexi bacterium 13_1_20CM_50_12,Bacteria;Terrabacteria group;Chloroflexi,0.510866,0,0,0,1
Chloroflexi bacterium 13_1_20CM_54_36,Bacteria;Terrabacteria group;Chloroflexi,1.31547,0,0,0,1
Chloroflexi bacterium 13_1_20CM_66_33,Bacteria;Terrabacteria group;Chloroflexi,0.771625,0,0,0,1
Chloroflexi bacterium 13_1_40CM_2_67_6,Bacteria;Terrabacteria group;Chloroflexi,0.133342,0,0,0,1
Chloroflexi bacterium 13_1_40CM_2_68_14,Bacteria;Terrabacteria group;Chloroflexi,3.02708,0,0,0,1
Chloroflexi bacterium 13_1_40CM_2_70_6,Bacteria;Terrabacteria group;Chloroflexi,1.62271,0,0,0,1
Chloroflexi bacterium 13_1_40CM_3_65_12,Bacteria;Terrabacteria group;Chloroflexi,2.36865,0,0,0,1
Chloroflexi bacterium 13_1_40CM_3_70_6,Bacteria;Terrabacteria group;Chloroflexi,0.532936,0,0,0,1
Chloroflexi bacterium 13_1_40CM_4_65_13,Bacteria;Terrabacteria group;Chloroflexi,0.487372,0,0,0,1
Chloroflexi bacterium 13_1_40CM_4_65_16,Bacteria;Terrabacteria group;Chloroflexi,1.77832,0,0,0,1
Chloroflexi bacterium 13_1_40CM_4_68_4,Bacteria;Terrabacteria group;Chloroflexi,3.36564,0,0,0,1
Chloroflexi bacterium 13_1_40CM_4_69_19,Bacteria;Terrabacteria group;Chloroflexi,0.518886,0,0,0,1
Chloroflexi bacterium 13_1_40CM_55_7,Bacteria;Terrabacteria group;Chloroflexi,0.946456,0,0,0,1
Chloroflexi bacterium 13_1_40CM_65_17,Bacteria;Terrabacteria group;Chloroflexi,2.51862,0,0,0,1
Chloroflexi bacterium 13_1_40CM_66_19,Bacteria;Terrabacteria group;Chloroflexi,1.58499,0,0,0,1
Chloroflexi bacterium 13_1_40CM_67_9,Bacteria;Terrabacteria group;Chloroflexi,0.927486,0,0,0,1
Chloroflexi bacterium 13_1_40CM_68_15,Bacteria;Terrabacteria group;Chloroflexi,0.437866,0,0,0,1
Chloroflexi bacterium 13_1_40CM_68_21,Bacteria;Terrabacteria group;Chloroflexi,1.25091,0,0,0,1
Chloroflexi bacterium 44-23,Bacteria;Terrabacteria group;Chloroflexi,4.18444,0,0,0,1
Chloroflexi bacterium 54-19,Bacteria;Terrabacteria group;Chloroflexi,9.24944,0,0,0,1
Chloroflexi bacterium B3_Chlor,Bacteria;Terrabacteria group;Chloroflexi,2.81731,0,0,0,1
Chloroflexi bacterium bin125,Bacteria;Terrabacteria group;Chloroflexi,3.68167,0,0,0,1
Chloroflexi bacterium bin20,Bacteria;Terrabacteria group;Chloroflexi,3.66168,0,0,0,1
Chloroflexi bacterium CG07_land_8_20_14_0_80_45_17,Bacteria;Terrabacteria group;Chloroflexi,0.74327,0,0,0,1
Chloroflexi bacterium CG07_land_8_20_14_0_80_51_10,Bacteria;Terrabacteria group;Chloroflexi,1.05045,0,0,0,1
Chloroflexi bacterium CG08_land_8_20_14_0_20_45_12,Bacteria;Terrabacteria group;Chloroflexi,1.21436,0,0,0,1
Chloroflexi bacterium CG15_BIG_FIL_POST_REV_8_21_14_020_46_15,Bacteria;Terrabacteria group;Chloroflexi,1.02272,0,0,0,1
Chloroflexi bacterium CG23_combo_of_CG06-09_8_20_14_all_45_10,Bacteria;Terrabacteria group;Chloroflexi,1.0013,0,0,0,1
Chloroflexi bacterium CG_4_10_14_0_8_um_filter_46_9,Bacteria;Terrabacteria group;Chloroflexi,0.811924,0,0,0,1
Chloroflexi bacterium CG_4_10_14_0_8_um_filter_57_5,Bacteria;Terrabacteria group;Chloroflexi,1.13467,0,0,0,1
Chloroflexi bacterium CG_4_8_14_3_um_filter_45_15,Bacteria;Terrabacteria group;Chloroflexi,0.988587,0,0,0,1
Chloroflexi bacterium CG_4_9_14_3_um_filter_45_9,Bacteria;Terrabacteria group;Chloroflexi,1.44124,0,0,0,1
Chloroflexi bacterium CSP1-4,Bacteria;Terrabacteria group;Chloroflexi,2.58547,0,0,0,1
Chloroflexi bacterium GWB2_49_20,Bacteria;Terrabacteria group;Chloroflexi,3.37489,0,0,0,1
Chloroflexi bacterium GWB2_54_36,Bacteria;Terrabacteria group;Chloroflexi,2.89452,0,0,0,1
Chloroflexi bacterium GWC2_49_37,Bacteria;Terrabacteria group;Chloroflexi,3.40629,0,0,0,1
Chloroflexi bacterium GWC2_70_10,Bacteria;Terrabacteria group;Chloroflexi,1.30785,0,0,0,1
Chloroflexi bacterium GWC2_73_18,Bacteria;Terrabacteria group;Chloroflexi,2.93378,0,0,0,1
Chloroflexi bacterium GWD2_49_16,Bacteria;Terrabacteria group;Chloroflexi,3.36879,0,0,0,1
Chloroflexi bacterium HGW-Chloroflexi-1,Bacteria;Terrabacteria group;Chloroflexi,4.45083,0,0,0,1
Chloroflexi bacterium HGW-Chloroflexi-10,Bacteria;Terrabacteria group;Chloroflexi,6.5708,0,0,0,1
Chloroflexi bacterium HGW-Chloroflexi-2,Bacteria;Terrabacteria group;Chloroflexi,4.10688,0,0,0,1
Chloroflexi bacterium HGW-Chloroflexi-3,Bacteria;Terrabacteria group;Chloroflexi,4.08787,0,0,0,1
Chloroflexi bacterium HGW-Chloroflexi-4,Bacteria;Terrabacteria group;Chloroflexi,3.85808,0,0,0,1
Chloroflexi bacterium HGW-Chloroflexi-5,Bacteria;Terrabacteria group;Chloroflexi,4.99818,0,0,0,1
Chloroflexi bacterium HGW-Chloroflexi-6,Bacteria;Terrabacteria group;Chloroflexi,5.25936,0,0,0,1
Chloroflexi bacterium HGW-Chloroflexi-7,Bacteria;Terrabacteria group;Chloroflexi,1.55824,0,0,0,1
Chloroflexi bacterium HGW-Chloroflexi-8,Bacteria;Terrabacteria group;Chloroflexi,3.94826,0,0,0,1
Chloroflexi bacterium HGW-Chloroflexi-9,Bacteria;Terrabacteria group;Chloroflexi,2.50219,0,0,0,1
Chloroflexi bacterium JdFR-59,Bacteria;Terrabacteria group;Chloroflexi,2.03916,0,0,0,1
Chloroflexi bacterium JGI 0000112-G22,Bacteria;Terrabacteria group;Chloroflexi,1.24039,0,0,0,1
Chloroflexi bacterium JGI 0002000-F10,Bacteria;Terrabacteria group;Chloroflexi,1.24651,0,0,0,1
Chloroflexi bacterium OHK40,Bacteria;Terrabacteria group;Chloroflexi,6.93404,0,0,0,1
Chloroflexi bacterium OLB13,Bacteria;Terrabacteria group;Chloroflexi,4.22039,0,0,0,1
Chloroflexi bacterium OLB14,Bacteria;Terrabacteria group;Chloroflexi,3.04154,0,0,0,1
Chloroflexi bacterium OLB15,Bacteria;Terrabacteria group;Chloroflexi,3.79816,0,0,0,1
Chloroflexi bacterium oral taxon 439,Bacteria;Terrabacteria group;Chloroflexi,1.7667,0,0,0,3
Chloroflexi bacterium RBG_13_46_14,Bacteria;Terrabacteria group;Chloroflexi,1.6789,0,0,0,1
Chloroflexi bacterium RBG_13_46_9,Bacteria;Terrabacteria group;Chloroflexi,1.4808,0,0,0,1
Chloroflexi bacterium RBG_13_48_10,Bacteria;Terrabacteria group;Chloroflexi,2.94397,0,0,0,1
Chloroflexi bacterium RBG_13_48_17,Bacteria;Terrabacteria group;Chloroflexi,0.874462,0,0,0,1
Chloroflexi bacterium RBG_13_50_10,Bacteria;Terrabacteria group;Chloroflexi,1.73639,0,0,0,1
Chloroflexi bacterium RBG_13_50_21,Bacteria;Terrabacteria group;Chloroflexi,2.48796,0,0,0,1
Chloroflexi bacterium RBG_13_51_18,Bacteria;Terrabacteria group;Chloroflexi,1.4966,0,0,0,1
Chloroflexi bacterium RBG_13_51_36,Bacteria;Terrabacteria group;Chloroflexi,1.93418,0,0,0,1
Chloroflexi bacterium RBG_13_51_52,Bacteria;Terrabacteria group;Chloroflexi,1.16794,0,0,0,1
Chloroflexi bacterium RBG_13_52_12,Bacteria;Terrabacteria group;Chloroflexi,1.23664,0,0,0,1
Chloroflexi bacterium RBG_13_52_14,Bacteria;Terrabacteria group;Chloroflexi,1.26439,0,0,0,1
Chloroflexi bacterium RBG_13_53_26,Bacteria;Terrabacteria group;Chloroflexi,1.59996,0,0,0,1
Chloroflexi bacterium RBG_13_54_8,Bacteria;Terrabacteria group;Chloroflexi,1.56611,0,0,0,1
Chloroflexi bacterium RBG_13_54_9,Bacteria;Terrabacteria group;Chloroflexi,1.43998,0,0,0,1
Chloroflexi bacterium RBG_13_56_8,Bacteria;Terrabacteria group;Chloroflexi,1.87024,0,0,0,1
Chloroflexi bacterium RBG_13_56_8b,Bacteria;Terrabacteria group;Chloroflexi,0.794357,0,0,0,1
Chloroflexi bacterium RBG_13_57_8,Bacteria;Terrabacteria group;Chloroflexi,1.12623,0,0,0,1
Chloroflexi bacterium RBG_13_60_13,Bacteria;Terrabacteria group;Chloroflexi,1.60408,0,0,0,1
Chloroflexi bacterium RBG_13_60_9,Bacteria;Terrabacteria group;Chloroflexi,1.64805,0,0,0,1
Chloroflexi bacterium RBG_13_66_10,Bacteria;Terrabacteria group;Chloroflexi,2.96089,0,0,0,1
Chloroflexi bacterium RBG_13_68_17,Bacteria;Terrabacteria group;Chloroflexi,3.74372,0,0,0,1
Chloroflexi bacterium RBG_16_47_49,Bacteria;Terrabacteria group;Chloroflexi,2.04065,0,0,0,1
Chloroflexi bacterium RBG_16_48_7,Bacteria;Terrabacteria group;Chloroflexi,1.31888,0,0,0,1
Chloroflexi bacterium RBG_16_48_8,Bacteria;Terrabacteria group;Chloroflexi,3.98163,0,0,0,1
Chloroflexi bacterium RBG_16_50_11,Bacteria;Terrabacteria group;Chloroflexi,1.74028,0,0,0,1
Chloroflexi bacterium RBG_16_50_9,Bacteria;Terrabacteria group;Chloroflexi,2.81812,0,0,0,1
Chloroflexi bacterium RBG_16_51_16,Bacteria;Terrabacteria group;Chloroflexi,2.26225,0,0,0,1
Chloroflexi bacterium RBG_16_51_9,Bacteria;Terrabacteria group;Chloroflexi,1.62446,0,0,0,1
Chloroflexi bacterium RBG_16_52_11,Bacteria;Terrabacteria group;Chloroflexi,2.16404,0,0,0,1
Chloroflexi bacterium RBG_16_54_11,Bacteria;Terrabacteria group;Chloroflexi,2.23268,0,0,0,1
Chloroflexi bacterium RBG_16_54_18,Bacteria;Terrabacteria group;Chloroflexi,3.82299,0,0,0,1
Chloroflexi bacterium RBG_16_56_11,Bacteria;Terrabacteria group;Chloroflexi,2.27113,0,0,0,1
Chloroflexi bacterium RBG_16_56_8,Bacteria;Terrabacteria group;Chloroflexi,2.16822,0,0,0,1
Chloroflexi bacterium RBG_16_57_11,Bacteria;Terrabacteria group;Chloroflexi,4.76917,0,0,0,1
Chloroflexi bacterium RBG_16_57_8,Bacteria;Terrabacteria group;Chloroflexi,2.20573,0,0,0,1
Chloroflexi bacterium RBG_16_57_9,Bacteria;Terrabacteria group;Chloroflexi,1.76236,0,0,0,1
Chloroflexi bacterium RBG_16_58_14,Bacteria;Terrabacteria group;Chloroflexi,1.50393,0,0,0,1
Chloroflexi bacterium RBG_16_58_8,Bacteria;Terrabacteria group;Chloroflexi,1.45138,0,0,0,1
Chloroflexi bacterium RBG_16_60_22,Bacteria;Terrabacteria group;Chloroflexi,1.86857,0,0,0,1
Chloroflexi bacterium RBG_16_63_12,Bacteria;Terrabacteria group;Chloroflexi,3.40027,0,0,0,1
Chloroflexi bacterium RBG_16_64_32,Bacteria;Terrabacteria group;Chloroflexi,1.66623,0,0,0,1
Chloroflexi bacterium RBG_16_64_43,Bacteria;Terrabacteria group;Chloroflexi,1.8066,0,0,0,1
Chloroflexi bacterium RBG_16_68_14,Bacteria;Terrabacteria group;Chloroflexi,2.47225,0,0,0,1
Chloroflexi bacterium RBG_16_69_14,Bacteria;Terrabacteria group;Chloroflexi,2.75941,0,0,0,1
Chloroflexi bacterium RBG_16_70_13,Bacteria;Terrabacteria group;Chloroflexi,2.88714,0,0,0,1
Chloroflexi bacterium RBG_16_72_14,Bacteria;Terrabacteria group;Chloroflexi,3.76582,0,0,0,1
Chloroflexi bacterium RBG_19FT_COMBO_47_15,Bacteria;Terrabacteria group;Chloroflexi,0.722196,0,0,0,1
Chloroflexi bacterium RBG_19FT_COMBO_47_9,Bacteria;Terrabacteria group;Chloroflexi,3.23092,0,0,0,1
Chloroflexi bacterium RBG_19FT_COMBO_48_23,Bacteria;Terrabacteria group;Chloroflexi,0.706002,0,0,0,1
Chloroflexi bacterium RBG_19FT_COMBO_49_13,Bacteria;Terrabacteria group;Chloroflexi,1.53604,0,0,0,1
Chloroflexi bacterium RBG_19FT_COMBO_50_10,Bacteria;Terrabacteria group;Chloroflexi,2.29729,0,0,0,1
Chloroflexi bacterium RBG_19FT_COMBO_55_16,Bacteria;Terrabacteria group;Chloroflexi,2.52984,0,0,0,1
Chloroflexi bacterium RBG_19FT_COMBO_56_12,Bacteria;Terrabacteria group;Chloroflexi,2.49661,0,0,0,1
Chloroflexi bacterium RBG_19FT_COMBO_62_14,Bacteria;Terrabacteria group;Chloroflexi,4.01272,0,0,0,1
Chloroflexi bacterium RIFCSPLOWO2_02_FULL_71_16,Bacteria;Terrabacteria group;Chloroflexi,1.93193,0,0,0,1
Chloroflexi bacterium RIFCSPLOWO2_12_FULL_71_12,Bacteria;Terrabacteria group;Chloroflexi,1.69522,0,0,0,1
Chloroflexi bacterium RIFOXYC12_FULL_59_14,Bacteria;Terrabacteria group;Chloroflexi,1.46833,0,0,0,1
Chloroflexi bacterium RIFOXYD12_FULL_57_15,Bacteria;Terrabacteria group;Chloroflexi,2.85001,0,0,0,1
Chloroflexi bacterium SCGC AB-629-P13,Bacteria;Terrabacteria group;Chloroflexi,0.842801,0,0,0,1
Chloroflexi bacterium SPGG9,Bacteria;Terrabacteria group;Chloroflexi,0.726771,0,0,0,1
Chloroflexi bacterium TMED230,Bacteria;Terrabacteria group;Chloroflexi,0.844759,0,0,0,1
Chloroflexi bacterium TMED70,Bacteria;Terrabacteria group;Chloroflexi,1.32916,0,0,0,1
Chloroflexi bacterium UBA2235,Bacteria;Terrabacteria group;Chloroflexi,3.50924,0,0,0,1
Chloroflexi bacterium UBA4669,Bacteria;Terrabacteria group;Chloroflexi,3.57436,0,0,0,1
Chloroflexi bacterium UBA4730,Bacteria;Terrabacteria group;Chloroflexi,3.26903,0,0,0,1
Chloroflexi bacterium UBA4733,Bacteria;Terrabacteria group;Chloroflexi,7.55535,0,0,0,1
Chloroflexi bacterium UBA4735,Bacteria;Terrabacteria group;Chloroflexi,3.32319,0,0,0,1
Chloroflexi bacterium UBA4736,Bacteria;Terrabacteria group;Chloroflexi,2.9354,0,0,0,1
Chloroflexi bacterium UBA5177,Bacteria;Terrabacteria group;Chloroflexi,3.03017,0,0,0,1
Chloroflexi bacterium UBA5183,Bacteria;Terrabacteria group;Chloroflexi,3.71842,0,0,0,1
Chloroflexi bacterium UBA5189,Bacteria;Terrabacteria group;Chloroflexi,3.0293,0,0,0,1
Chloroflexi bacterium UBA6019,Bacteria;Terrabacteria group;Chloroflexi,1.7537,0,0,0,1
Chloroflexi bacterium UBA6042,Bacteria;Terrabacteria group;Chloroflexi,2.55182,0,0,0,1
Chloroflexi bacterium UBA6077,Bacteria;Terrabacteria group;Chloroflexi,5.90819,0,0,0,1
Chloroflexi bacterium UBA6265,Bacteria;Terrabacteria group;Chloroflexi,2.47854,0,0,0,1
Chloroflexi bacterium UBA6622,Bacteria;Terrabacteria group;Chloroflexi,2.0636,0,0,0,1
Chloroflexi bacterium UTCFX4,Bacteria;Terrabacteria group;Chloroflexi,4.65427,0,0,0,1
Chloroflexus,Bacteria;Terrabacteria group;Chloroflexi,4.89099,0,0,0,2
Chloroflexus aggregans,Bacteria;Terrabacteria group;Chloroflexi,4.68493,1,0,0,2
Chloroflexus aurantiacus,Bacteria;Terrabacteria group;Chloroflexi,5.25854,1,0,0,3
Chloroflexus islandicus,Bacteria;Terrabacteria group;Chloroflexi,5.13689,0,0,0,1
Chlorogloea,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,5.22613,0,0,0,1
Chlorogloeopsis fritschii,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,7.75174,0,0,0,3
Chloroherpeton thalassium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,3.29346,1,0,0,1
Chloroidium,Eukaryota;Plants;Green Algae,60.4453,0,0,0,2
Chloromonas,Eukaryota;Plants;Green Algae,102.366,0,0,0,1
Chloropicon primus,Eukaryota;Plants;Green Algae,17.4007,20,0,0,1
Choanephora cucurbitarum,Eukaryota;Fungi;Other Fungi,29.0969,0,0,0,1
Chobar Gorge virus,Viruses;Other;Reoviridae,0.017899,10,0,0,1
Choclo orthohantavirus,Viruses;Other;Hantaviridae,0.005657,2,0,0,1
Chocolate lily virus A,Viruses;Other;Secoviridae,0.010874,2,0,0,1
Choiromyces venosus,Eukaryota;Fungi;Ascomycetes,126.035,0,0,0,1
Choloepus didactylus,Eukaryota;Animals;Mammals,3390.66,0,0,0,1
Choloepus hoffmanni,Eukaryota;Animals;Mammals,3286.01,0,0,0,1
Chondrocystis,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,5.00252,1,0,6,1
Chondromyces apiculatus,Bacteria;Proteobacteria;delta/epsilon subdivisions,11.5777,0,0,0,1
Chondromyces crocatus,Bacteria;Proteobacteria;delta/epsilon subdivisions,11.3881,1,0,0,1
Chondrostereum purpureum,Eukaryota;Fungi;Basidiomycetes,41.2574,0,0,0,1
Chondrostereum purpureum cryptic virus 1,Viruses;Other;Partitiviridae,0.003677,2,0,0,1
Chondrus crispus,Eukaryota;Other;Other,104.98,0,1,0,1
Choristoneura biennis entomopoxvirus,Viruses;Other;Poxviridae,0.307691,1,0,0,1
Choristoneura fumiferana DEF multiple nucleopolyhedrovirus,Viruses;Other;Baculoviridae,0.13116,1,0,0,1
Choristoneura fumiferana entomopoxvirus,Viruses;Other;Poxviridae,0.009951,0,0,0,1
Choristoneura fumiferana granulovirus,Viruses;Other;Baculoviridae,0.10471,1,0,0,2
Choristoneura fumiferana multiple nucleopolyhedrovirus,Viruses;Other;Baculoviridae,0.129593,1,0,0,1
Choristoneura murinana nucleopolyhedrovirus,Viruses;Other;Baculoviridae,0.124688,1,0,0,1
Choristoneura occidentalis cypovirus 16,Viruses;Other;Reoviridae,0.019016,8,0,0,1
Choristoneura rosaceana entomopoxvirus 'L',Viruses;Other;Poxviridae,0.282895,1,0,0,1
Choristoneura rosaceana nucleopolyhedrovirus,Viruses;Other;Baculoviridae,0.129052,1,0,0,2
Christensenella,Bacteria;Terrabacteria group;Firmicutes,3.02665,1,0,0,2
Christensenella massiliensis,Bacteria;Terrabacteria group;Firmicutes,2.56019,1,0,0,1
Christensenella minuta,Bacteria;Terrabacteria group;Firmicutes,2.93715,0,0,0,4
Christensenella timonensis,Bacteria;Terrabacteria group;Firmicutes,2.65085,0,0,0,1
Christensenellaceae bacterium Phil1,Bacteria;Terrabacteria group;Firmicutes,2.84802,0,0,0,1
Christensenellaceae bacterium Phil10,Bacteria;Terrabacteria group;Firmicutes,1.01531,0,0,0,1
Christensenellaceae bacterium Phil7,Bacteria;Terrabacteria group;Firmicutes,2.21367,0,0,0,1
Chromatiaceae bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,5.44794,0,0,0,11
Chromatiaceae bacterium 2141T.STBD.0c.01a,Bacteria;Proteobacteria;Gammaproteobacteria,4.79045,1,0,0,1
Chromatiales bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,4.62642,0,0,0,9
Chromatiales bacterium (ex Bugula neritina AB1),Bacteria;Proteobacteria;Gammaproteobacteria,7.44056,0,0,0,1
Chromatiales bacterium 21-64-14,Bacteria;Proteobacteria;Gammaproteobacteria,3.44989,0,0,0,1
Chromatiales bacterium RIFOXYA1_FULL_46_5,Bacteria;Proteobacteria;Gammaproteobacteria,2.78267,0,0,0,1
Chromatiales bacterium USCg_Taylor,Bacteria;Proteobacteria;Gammaproteobacteria,2.96168,0,0,0,1
Chromatium okenii,Bacteria;Proteobacteria;Gammaproteobacteria,3.78475,0,0,0,1
Chromatocurvus,Bacteria;Proteobacteria;Gammaproteobacteria,4.06098,0,0,0,1
Chromatocurvus halotolerans,Bacteria;Proteobacteria;Gammaproteobacteria,3.91157,0,0,0,2
Chromera velia,Eukaryota;Protists;Other Protists,187.455,0,0,0,1
Chromis chromis,Eukaryota;Animals;Fishes,834.429,0,0,0,1
Chromobacterium,Bacteria;Proteobacteria;Betaproteobacteria,5.21835,1,0,0,10
Chromobacterium amazonense,Bacteria;Proteobacteria;Betaproteobacteria,4.01019,0,0,0,2
Chromobacterium haemolyticum,Bacteria;Proteobacteria;Betaproteobacteria,5.0302,0,0,0,7
Chromobacterium piscinae,Bacteria;Proteobacteria;Betaproteobacteria,4.08956,0,0,0,1
Chromobacterium rhizoryzae,Bacteria;Proteobacteria;Betaproteobacteria,5.16906,1,0,0,1
Chromobacterium sphagni,Bacteria;Proteobacteria;Betaproteobacteria,4.9037,0,0,0,2
Chromobacterium subtsugae,Bacteria;Proteobacteria;Betaproteobacteria,4.8056,0,0,0,7
Chromobacterium vaccinii,Bacteria;Proteobacteria;Betaproteobacteria,5.04123,1,0,0,4
Chromobacterium violaceum,Bacteria;Proteobacteria;Betaproteobacteria,4.75108,1,0,0,21
Chromohalobacter canadensis,Bacteria;Proteobacteria;Gammaproteobacteria,3.55648,0,0,0,1
Chromohalobacter israelensis,Bacteria;Proteobacteria;Gammaproteobacteria,3.66099,0,0,0,1
Chromohalobacter japonicus,Bacteria;Proteobacteria;Gammaproteobacteria,3.37628,0,0,0,2
Chromohalobacter marismortui,Bacteria;Proteobacteria;Gammaproteobacteria,3.55322,0,0,0,1
Chromohalobacter salexigens,Bacteria;Proteobacteria;Gammaproteobacteria,3.69665,1,0,0,3
Chronic bee paralysis virus,Viruses;Other;Other,0.005979,2,0,0,1
Chroococcales cyanobacterium IPPAS B-1203,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,5.91415,0,0,0,1
Chroococcales cyanobacterium metabat2.561,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,2.77897,0,0,0,1
Chroococcidiopsis,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,6.67429,0,0,0,2
Chroococcidiopsis cubana,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,8.099,0,0,0,2
Chroococcidiopsis thermalis,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,6.6894,1,0,2,1
Chroogloeocystis siderophila,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,5.00999,0,0,0,1
Chroogomphus rutilus,Eukaryota;Fungi;Basidiomycetes,205.403,0,0,0,1
Chroomonas mesostigmatica,Eukaryota;Protists;Other Protists,0.702852,3,0,0,1
Chrysanthemum chlorotic mottle viroid,Viruses;Other;Avsunviroidae,3.99e-4,1,0,0,1
Chrysanthemum seticuspe,Eukaryota;Plants;Land Plants,2721.84,0,0,0,1
Chrysanthemum stem necrosis virus,Viruses;Other;Tospoviridae,0.016732,3,0,0,1
Chrysanthemum stunt viroid,Viruses;Other;Pospiviroidae,3.56e-4,1,0,0,1
Chrysanthemum virus B,Viruses;Other;Betaflexiviridae,0.008855,1,0,0,1
Chrysanthemum virus R,Viruses;Other;Betaflexiviridae,0.00889,1,0,0,1
Chrysanthemum yellows phytoplasma,Bacteria;Terrabacteria group;Tenericutes,0.659699,0,0,0,1
Chrysemys picta,Eukaryota;Animals;Reptiles,2365.77,18,1,0,1
Chryseobacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,6.18787,1,0,0,114
Chryseobacterium angstadtii,Bacteria;FCB group;Bacteroidetes/Chlorobi group,5.20277,0,0,0,1
